epoch,global_step,loss,rougeL
1,50,6.8494,19.3284
1,100,5.3442,19.3284
1,150,4.6842,19.3284
1,200,4.5348,19.3284
1,250,4.5283,19.3284
1,300,4.5816,19.3284
1,350,4.4829,19.3284
1,400,4.4223,19.3284
1,450,4.4822,19.3284
1,500,4.486,19.3284
1,550,4.4309,19.3284
1,600,4.3757,19.3284
1,650,4.4461,19.3284
1,700,4.4212,19.3284
1,750,4.4658,19.3284
1,800,4.3998,19.3284
1,850,4.3282,19.3284
1,900,4.4008,19.3284
1,950,4.2746,19.3284
1,1000,4.4426,19.3284
1,1050,4.3067,19.3284
1,1100,4.3995,19.3284
1,1150,4.3422,19.3284
1,1200,4.2996,19.3284
1,1250,4.4025,19.3284
1,1300,4.2207,19.3284
1,1350,4.2859,19.3284
1,1400,4.3406,19.3284
2,1450,4.0346,20.1843
2,1500,3.5175,20.1843
2,1550,3.4623,20.1843
2,1600,3.5468,20.1843
2,1650,3.5152,20.1843
2,1700,3.5741,20.1843
2,1750,3.6793,20.1843
2,1800,3.5669,20.1843
2,1850,3.5763,20.1843
2,1900,3.5989,20.1843
2,1950,3.6286,20.1843
2,2000,3.5591,20.1843
2,2050,3.6059,20.1843
2,2100,3.634,20.1843
2,2150,3.5625,20.1843
2,2200,3.5565,20.1843
2,2250,3.6085,20.1843
2,2300,3.6093,20.1843
2,2350,3.7266,20.1843
2,2400,3.6207,20.1843
2,2450,3.6304,20.1843
2,2500,3.6609,20.1843
2,2550,3.5424,20.1843
2,2600,3.6606,20.1843
2,2650,3.606,20.1843
2,2700,3.5515,20.1843
2,2750,3.6516,20.1843
2,2800,3.8194,20.1843
2,2850,3.7891,20.1843
3,2900,3.0575,21.7176
3,2950,2.8886,21.7176
3,3000,2.9084,21.7176
3,3050,2.8768,21.7176
3,3100,2.9685,21.7176
3,3150,2.8871,21.7176
3,3200,2.9944,21.7176
3,3250,2.9972,21.7176
3,3300,3.0288,21.7176
3,3350,2.9711,21.7176
3,3400,3.0493,21.7176
3,3450,2.8942,21.7176
3,3500,3.0121,21.7176
3,3550,3.1304,21.7176
3,3600,3.0808,21.7176
3,3650,2.9756,21.7176
3,3700,3.0033,21.7176
3,3750,3.011,21.7176
3,3800,3.0027,21.7176
3,3850,3.0449,21.7176
3,3900,3.1551,21.7176
3,3950,3.0719,21.7176
3,4000,3.1158,21.7176
3,4050,3.0829,21.7176
3,4100,3.0713,21.7176
3,4150,3.1621,21.7176
3,4200,3.1878,21.7176
3,4250,3.0743,21.7176
4,4300,2.8716,22.3324
4,4350,2.3245,22.3324
4,4400,2.4118,22.3324
4,4450,2.2998,22.3324
4,4500,2.4051,22.3324
4,4550,2.3596,22.3324
4,4600,2.341,22.3324
4,4650,2.3748,22.3324
4,4700,2.4581,22.3324
4,4750,2.4548,22.3324
4,4800,2.442,22.3324
4,4850,2.4971,22.3324
4,4900,2.4994,22.3324
4,4950,2.4508,22.3324
4,5000,2.5147,22.3324
4,5050,2.5012,22.3324
4,5100,2.6166,22.3324
4,5150,2.5147,22.3324
4,5200,2.5209,22.3324
4,5250,2.4909,22.3324
4,5300,2.5086,22.3324
4,5350,2.5104,22.3324
4,5400,2.5695,22.3324
4,5450,2.5901,22.3324
4,5500,2.5411,22.3324
4,5550,2.646,22.3324
4,5600,2.5922,22.3324
4,5650,2.6482,22.3324
4,5700,2.6181,22.3324
5,5750,2.1211,22.6509
5,5800,1.9437,22.6509
5,5850,1.894,22.6509
5,5900,1.8751,22.6509
5,5950,1.9537,22.6509
5,6000,1.9364,22.6509
5,6050,1.9326,22.6509
5,6100,1.9929,22.6509
5,6150,1.9904,22.6509
5,6200,1.9815,22.6509
5,6250,2.0411,22.6509
5,6300,1.9928,22.6509
5,6350,2.0448,22.6509
5,6400,2.1111,22.6509
5,6450,2.0588,22.6509
5,6500,2.158,22.6509
5,6550,2.1355,22.6509
5,6600,2.0976,22.6509
5,6650,2.0288,22.6509
5,6700,2.1046,22.6509
5,6750,2.1068,22.6509
5,6800,2.1692,22.6509
5,6850,2.1445,22.6509
5,6900,2.1449,22.6509
5,6950,2.1422,22.6509
5,7000,2.1536,22.6509
5,7050,2.1956,22.6509
5,7100,2.1975,22.6509
6,7150,2.0946,22.8164
6,7200,1.5881,22.8164
6,7250,1.6185,22.8164
6,7300,1.6685,22.8164
6,7350,1.6404,22.8164
6,7400,1.5788,22.8164
6,7450,1.6135,22.8164
6,7500,1.6331,22.8164
6,7550,1.7584,22.8164
6,7600,1.6243,22.8164
6,7650,1.7332,22.8164
6,7700,1.6566,22.8164
6,7750,1.7019,22.8164
6,7800,1.7281,22.8164
6,7850,1.7011,22.8164
6,7900,1.7491,22.8164
6,7950,1.6236,22.8164
6,8000,1.6946,22.8164
6,8050,1.6764,22.8164
6,8100,1.711,22.8164
6,8150,1.6986,22.8164
6,8200,1.7317,22.8164
6,8250,1.7524,22.8164
6,8300,1.6902,22.8164
6,8350,1.7688,22.8164
6,8400,1.7415,22.8164
6,8450,1.7536,22.8164
6,8500,1.7495,22.8164
6,8550,1.8111,22.8164
7,8600,1.525,23.7427
7,8650,1.3678,23.7427
7,8700,1.3717,23.7427
7,8750,1.3162,23.7427
7,8800,1.3534,23.7427
7,8850,1.4414,23.7427
7,8900,1.337,23.7427
7,8950,1.3721,23.7427
7,9000,1.3356,23.7427
7,9050,1.4202,23.7427
7,9100,1.3656,23.7427
7,9150,1.3612,23.7427
7,9200,1.4203,23.7427
7,9250,1.4237,23.7427
7,9300,1.4315,23.7427
7,9350,1.3426,23.7427
7,9400,1.5067,23.7427
7,9450,1.4479,23.7427
7,9500,1.4449,23.7427
7,9550,1.4018,23.7427
7,9600,1.4715,23.7427
7,9650,1.5829,23.7427
7,9700,1.4401,23.7427
7,9750,1.5761,23.7427
7,9800,1.458,23.7427
7,9850,1.3945,23.7427
7,9900,1.4907,23.7427
7,9950,1.4445,23.7427
7,10000,1.4647,23.7427
8,10050,1.1484,23.0042
8,10100,1.1002,23.0042
8,10150,1.1107,23.0042
8,10200,1.1097,23.0042
8,10250,1.0948,23.0042
8,10300,1.1991,23.0042
8,10350,1.1102,23.0042
8,10400,1.1565,23.0042
8,10450,1.2192,23.0042
8,10500,1.1464,23.0042
8,10550,1.1904,23.0042
8,10600,1.2068,23.0042
8,10650,1.1955,23.0042
8,10700,1.1786,23.0042
8,10750,1.182,23.0042
8,10800,1.1776,23.0042
8,10850,1.1412,23.0042
8,10900,1.1835,23.0042
8,10950,1.1995,23.0042
8,11000,1.1246,23.0042
8,11050,1.1616,23.0042
8,11100,1.2067,23.0042
8,11150,1.2227,23.0042
8,11200,1.1779,23.0042
8,11250,1.2224,23.0042
8,11300,1.2129,23.0042
8,11350,1.2362,23.0042
8,11400,1.2756,23.0042
9,11450,1.0984,24.2753
9,11500,0.8841,24.2753
9,11550,0.922,24.2753
9,11600,0.9499,24.2753
9,11650,0.8913,24.2753
9,11700,0.9908,24.2753
9,11750,0.9642,24.2753
9,11800,1.1228,24.2753
9,11850,0.9413,24.2753
9,11900,1.0175,24.2753
9,11950,0.9358,24.2753
9,12000,1.0479,24.2753
9,12050,0.9682,24.2753
9,12100,0.9636,24.2753
9,12150,0.9639,24.2753
9,12200,0.9707,24.2753
9,12250,0.9975,24.2753
9,12300,0.999,24.2753
9,12350,0.9556,24.2753
9,12400,0.989,24.2753
9,12450,0.9614,24.2753
9,12500,0.9607,24.2753
9,12550,1.0001,24.2753
9,12600,1.0455,24.2753
9,12650,1.0162,24.2753
9,12700,1.0229,24.2753
9,12750,1.0271,24.2753
9,12800,1.0287,24.2753
9,12850,1.0076,24.2753
10,12900,0.8416,24.3657
10,12950,0.7836,24.3657
10,13000,0.8548,24.3657
10,13050,0.8093,24.3657
10,13100,0.8291,24.3657
10,13150,0.7915,24.3657
10,13200,0.7866,24.3657
10,13250,0.8248,24.3657
10,13300,0.8904,24.3657
10,13350,0.8051,24.3657
10,13400,0.8031,24.3657
10,13450,0.8594,24.3657
10,13500,0.8047,24.3657
10,13550,0.8241,24.3657
10,13600,0.8293,24.3657
10,13650,0.8393,24.3657
10,13700,0.8322,24.3657
10,13750,0.8189,24.3657
10,13800,0.8497,24.3657
10,13850,0.8326,24.3657
10,13900,0.8061,24.3657
10,13950,0.8196,24.3657
10,14000,0.8452,24.3657
10,14050,0.8359,24.3657
10,14100,0.8155,24.3657
10,14150,0.815,24.3657
10,14200,0.7976,24.3657
10,14250,0.8312,24.3657
11,14300,0.7679,24.2324
11,14350,0.6753,24.2324
11,14400,0.6807,24.2324
11,14450,0.7534,24.2324
