epoch,global_step,loss,rougeL
1,50,4.851,24.5307
1,100,3.8727,24.5307
1,150,3.4059,24.5307
1,200,3.1121,24.5307
1,250,3.0022,24.5307
1,300,2.9638,24.5307
1,350,2.8469,24.5307
1,400,2.7697,24.5307
1,450,2.7651,24.5307
1,500,2.8004,24.5307
1,550,2.7733,24.5307
1,600,2.6819,24.5307
1,650,2.7493,24.5307
1,700,2.717,24.5307
1,750,2.724,24.5307
1,800,2.6617,24.5307
1,850,2.5967,24.5307
1,900,2.6638,24.5307
1,950,2.5668,24.5307
1,1000,2.6801,24.5307
1,1050,2.5752,24.5307
1,1100,2.6204,24.5307
1,1150,2.5917,24.5307
1,1200,2.5485,24.5307
1,1250,2.6436,24.5307
1,1300,2.5187,24.5307
1,1350,2.4824,24.5307
1,1400,2.6185,24.5307
2,1450,2.5977,26.6016
2,1500,2.4693,26.6016
2,1550,2.4536,26.6016
2,1600,2.441,26.6016
2,1650,2.3931,26.6016
2,1700,2.4539,26.6016
2,1750,2.5039,26.6016
2,1800,2.384,26.6016
2,1850,2.4354,26.6016
2,1900,2.4259,26.6016
2,1950,2.4907,26.6016
2,2000,2.4457,26.6016
2,2050,2.4394,26.6016
2,2100,2.5316,26.6016
2,2150,2.4134,26.6016
2,2200,2.4173,26.6016
2,2250,2.4463,26.6016
2,2300,2.3966,26.6016
2,2350,2.532,26.6016
2,2400,2.4078,26.6016
2,2450,2.472,26.6016
2,2500,2.4174,26.6016
2,2550,2.3707,26.6016
2,2600,2.4897,26.6016
2,2650,2.3861,26.6016
2,2700,2.3716,26.6016
2,2750,2.3797,26.6016
2,2800,2.5571,26.6016
2,2850,2.5291,26.6016
3,2900,2.3335,27.0556
3,2950,2.3554,27.0556
3,3000,2.3137,27.0556
3,3050,2.3136,27.0556
3,3100,2.3092,27.0556
3,3150,2.2169,27.0556
3,3200,2.3774,27.0556
3,3250,2.2845,27.0556
3,3300,2.3552,27.0556
3,3350,2.3535,27.0556
3,3400,2.3134,27.0556
3,3450,2.3582,27.0556
3,3500,2.2597,27.0556
3,3550,2.3592,27.0556
3,3600,2.3555,27.0556
3,3650,2.2154,27.0556
3,3700,2.2763,27.0556
3,3750,2.2401,27.0556
3,3800,2.2244,27.0556
3,3850,2.3038,27.0556
3,3900,2.417,27.0556
3,3950,2.3057,27.0556
3,4000,2.3384,27.0556
3,4050,2.268,27.0556
3,4100,2.3087,27.0556
3,4150,2.3217,27.0556
3,4200,2.3457,27.0556
3,4250,2.2857,27.0556
4,4300,2.243,26.816
4,4350,2.1242,26.816
4,4400,2.1954,26.816
4,4450,2.0329,26.816
4,4500,2.2221,26.816
4,4550,2.1228,26.816
4,4600,2.0841,26.816
4,4650,2.0598,26.816
4,4700,2.1612,26.816
4,4750,2.1703,26.816
4,4800,2.1663,26.816
4,4850,2.1053,26.816
4,4900,2.182,26.816
4,4950,2.1262,26.816
4,5000,2.1399,26.816
4,5050,2.124,26.816
4,5100,2.2365,26.816
4,5150,2.1626,26.816
4,5200,2.1888,26.816
4,5250,2.1288,26.816
4,5300,2.2081,26.816
4,5350,2.1401,26.816
4,5400,2.1472,26.816
4,5450,2.1256,26.816
4,5500,2.1525,26.816
4,5550,2.221,26.816
4,5600,2.1679,26.816
4,5650,2.1732,26.816
4,5700,2.1424,26.816
5,5750,2.0422,27.284
5,5800,2.0181,27.284
5,5850,1.9105,27.284
5,5900,1.9455,27.284
5,5950,2.0498,27.284
5,6000,1.9452,27.284
5,6050,1.9513,27.284
5,6100,2.0223,27.284
5,6150,1.9738,27.284
5,6200,1.9686,27.284
5,6250,2.0487,27.284
5,6300,1.9224,27.284
5,6350,2.0089,27.284
5,6400,2.0608,27.284
5,6450,2.02,27.284
5,6500,2.0917,27.284
5,6550,1.9834,27.284
5,6600,2.0366,27.284
5,6650,1.985,27.284
5,6700,1.9475,27.284
5,6750,2.0208,27.284
5,6800,2.0034,27.284
5,6850,2.0475,27.284
5,6900,2.0225,27.284
5,6950,2.0089,27.284
5,7000,2.0568,27.284
5,7050,2.1316,27.284
5,7100,2.0876,27.284
6,7150,2.0601,27.633
6,7200,1.8283,27.633
6,7250,1.9294,27.633
6,7300,1.9528,27.633
6,7350,1.8658,27.633
6,7400,1.9111,27.633
6,7450,1.8635,27.633
6,7500,1.7856,27.633
6,7550,1.9342,27.633
6,7600,1.8631,27.633
6,7650,1.9333,27.633
6,7700,1.9115,27.633
6,7750,1.9013,27.633
6,7800,1.9312,27.633
6,7850,1.8514,27.633
6,7900,1.937,27.633
6,7950,1.848,27.633
6,8000,1.8772,27.633
6,8050,1.8371,27.633
6,8100,1.8924,27.633
6,8150,1.8829,27.633
6,8200,1.8949,27.633
6,8250,1.9377,27.633
6,8300,1.8196,27.633
6,8350,1.8727,27.633
6,8400,1.7967,27.633
6,8450,1.8474,27.633
6,8500,1.9142,27.633
6,8550,1.9564,27.633
7,8600,1.8604,28.3281
7,8650,1.7146,28.3281
7,8700,1.7685,28.3281
7,8750,1.7324,28.3281
7,8800,1.8513,28.3281
7,8850,1.778,28.3281
7,8900,1.7563,28.3281
7,8950,1.7661,28.3281
7,9000,1.7842,28.3281
7,9050,1.6782,28.3281
7,9100,1.7562,28.3281
7,9150,1.6748,28.3281
7,9200,1.7817,28.3281
7,9250,1.7829,28.3281
7,9300,2.1963,28.3281
7,9350,1.8223,28.3281
7,9400,1.878,28.3281
7,9450,1.8642,28.3281
7,9500,1.7637,28.3281
7,9550,1.7381,28.3281
7,9600,1.7413,28.3281
7,9650,1.7649,28.3281
7,9700,1.7568,28.3281
7,9750,1.7885,28.3281
7,9800,1.8022,28.3281
7,9850,1.7121,28.3281
7,9900,1.7316,28.3281
7,9950,1.7857,28.3281
7,10000,1.7001,28.3281
8,10050,1.6939,28.921
8,10100,1.6522,28.921
8,10150,1.6429,28.921
8,10200,1.6357,28.921
8,10250,1.6626,28.921
8,10300,1.7128,28.921
8,10350,1.6492,28.921
8,10400,1.6533,28.921
8,10450,1.776,28.921
8,10500,1.6327,28.921
8,10550,1.6846,28.921
8,10600,1.7151,28.921
8,10650,1.6534,28.921
8,10700,1.6494,28.921
8,10750,1.7123,28.921
8,10800,1.6594,28.921
8,10850,1.6921,28.921
8,10900,1.5994,28.921
8,10950,1.5995,28.921
8,11000,1.5714,28.921
8,11050,1.6359,28.921
8,11100,1.5953,28.921
8,11150,1.7009,28.921
8,11200,1.6333,28.921
8,11250,1.6913,28.921
8,11300,1.6828,28.921
8,11350,1.7229,28.921
8,11400,1.6902,28.921
9,11450,1.6548,28.8255
9,11500,1.4476,28.8255
9,11550,1.5304,28.8255
9,11600,1.5345,28.8255
9,11650,1.6099,28.8255
9,11700,1.6416,28.8255
9,11750,1.628,28.8255
9,11800,1.5823,28.8255
9,11850,1.485,28.8255
9,11900,1.5605,28.8255
9,11950,1.5645,28.8255
9,12000,1.6697,28.8255
9,12050,1.5611,28.8255
9,12100,1.5378,28.8255
9,12150,1.5518,28.8255
9,12200,1.5514,28.8255
9,12250,1.5791,28.8255
9,12300,1.4952,28.8255
9,12350,1.5698,28.8255
9,12400,1.5475,28.8255
9,12450,1.689,28.8255
9,12500,1.5616,28.8255
9,12550,1.5261,28.8255
9,12600,1.5717,28.8255
9,12650,1.6023,28.8255
9,12700,1.5535,28.8255
9,12750,1.5577,28.8255
9,12800,1.5547,28.8255
9,12850,1.5681,28.8255
10,12900,1.4377,28.7084
10,12950,1.4749,28.7084
10,13000,1.5566,28.7084
10,13050,1.4559,28.7084
10,13100,1.477,28.7084
10,13150,1.4335,28.7084
10,13200,1.477,28.7084
10,13250,1.5545,28.7084
10,13300,1.5042,28.7084
10,13350,1.4881,28.7084
10,13400,1.4696,28.7084
10,13450,1.426,28.7084
10,13500,1.444,28.7084
10,13550,1.4287,28.7084
10,13600,1.5513,28.7084
10,13650,1.4715,28.7084
10,13700,1.4998,28.7084
10,13750,1.4537,28.7084
10,13800,1.4233,28.7084
10,13850,1.501,28.7084
10,13900,1.427,28.7084
10,13950,1.4376,28.7084
10,14000,1.4355,28.7084
10,14050,1.4852,28.7084
10,14100,1.5001,28.7084
10,14150,1.4579,28.7084
10,14200,1.4719,28.7084
10,14250,1.5184,28.7084
11,14300,1.5042,28.8376
11,14350,1.481,28.8376
11,14400,1.3592,28.8376
11,14450,1.3527,28.8376
11,14500,1.3753,28.8376
11,14550,1.4091,28.8376
11,14600,1.4263,28.8376
11,14650,1.4016,28.8376
11,14700,1.4149,28.8376
11,14750,1.4006,28.8376
11,14800,1.306,28.8376
11,14850,1.3815,28.8376
11,14900,1.3884,28.8376
11,14950,1.4438,28.8376
11,15000,1.3335,28.8376
11,15050,1.3299,28.8376
11,15100,1.4686,28.8376
11,15150,1.5446,28.8376
11,15200,1.4535,28.8376
11,15250,1.4223,28.8376
11,15300,1.3838,28.8376
11,15350,1.3922,28.8376
11,15400,1.3942,28.8376
11,15450,1.4407,28.8376
11,15500,1.4701,28.8376
11,15550,1.4465,28.8376
11,15600,1.4296,28.8376
11,15650,1.3925,28.8376
11,15700,1.4356,28.8376
12,15750,1.4147,28.8843
12,15800,1.3388,28.8843
12,15850,1.2962,28.8843
12,15900,1.3915,28.8843
12,15950,1.2979,28.8843
12,16000,1.3779,28.8843
12,16050,1.3786,28.8843
12,16100,1.3902,28.8843
12,16150,1.3935,28.8843
12,16200,1.4231,28.8843
12,16250,1.2993,28.8843
12,16300,1.4153,28.8843
12,16350,1.3807,28.8843
12,16400,1.3795,28.8843
12,16450,1.3452,28.8843
12,16500,1.2992,28.8843
12,16550,1.3275,28.8843
12,16600,1.3436,28.8843
12,16650,1.3394,28.8843
12,16700,1.3233,28.8843
12,16750,1.3472,28.8843
12,16800,1.3789,28.8843
12,16850,1.3212,28.8843
12,16900,1.3447,28.8843
12,16950,1.386,28.8843
12,17000,1.4541,28.8843
12,17050,1.3723,28.8843
12,17100,1.3872,28.8843
13,17150,1.3705,28.6655
13,17200,1.3186,28.6655
13,17250,1.3604,28.6655
13,17300,1.3749,28.6655
13,17350,1.2772,28.6655
13,17400,1.3873,28.6655
13,17450,1.3088,28.6655
13,17500,1.3264,28.6655
13,17550,1.3437,28.6655
13,17600,1.3362,28.6655
13,17650,1.3005,28.6655
13,17700,1.2615,28.6655
13,17750,1.3162,28.6655
